datetime,MAC Address,SSID,Signal Strength
01/12/2025 15:54:54,D0:4D:C6:F2:80:30,eduroam,-91
01/12/2025 15:54:54,D0:4D:C6:F2:02:E0,eduroam,-82
01/12/2025 15:54:54,D0:4D:C6:F2:BA:E0,eduroam,-84
01/12/2025 15:54:54,D0:4D:C6:F2:B0:60,eduroam,-71
01/12/2025 15:54:54,D0:4D:C6:F1:33:20,eduroam,-63
01/12/2025 15:54:54,D0:4D:C6:F2:B0:E0,eduroam,-59
01/12/2025 15:54:54,1C:28:AF:66:08:20,eduroam,-72
01/12/2025 15:54:54,1C:28:AF:62:35:E0,eduroam,-64
01/12/2025 15:54:59,D0:4D:C6:F1:D8:00,eduroam,-89
01/12/2025 15:54:59,1C:28:AF:5B:71:60,eduroam,-87
01/12/2025 15:54:59,D0:4D:C6:F2:F0:E0,eduroam,-85
01/12/2025 15:54:59,D0:4D:C6:F1:D2:00,eduroam,-79
01/12/2025 15:54:59,D0:4D:C6:F2:9B:C0,eduroam,-81
01/12/2025 15:54:59,D0:4D:C6:F2:02:F0,eduroam,-90
01/12/2025 15:54:59,D0:4D:C6:F2:F0:F0,eduroam,-90
01/12/2025 15:54:59,D0:4D:C6:F2:7E:40,eduroam,-78
01/12/2025 15:54:59,D0:4D:C6:F2:80:20,eduroam,-79
01/12/2025 15:54:59,D0:4D:C6:F2:9B:D0,eduroam,-87
01/12/2025 15:55:00,1C:28:AF:66:5A:00,eduroam,-73
01/12/2025 15:55:00,D0:4D:C6:F2:B0:70,eduroam,-83
01/12/2025 15:55:00,1C:28:AF:5B:71:70,eduroam,-89
01/12/2025 15:55:00,1C:28:AF:66:08:30,eduroam,-80
01/12/2025 15:55:00,D0:4D:C6:F2:BA:F0,eduroam,-88
01/12/2025 15:55:00,D0:4D:C6:F1:33:30,eduroam,-72
01/12/2025 15:55:00,1C:28:AF:62:35:F0,eduroam,-77
01/12/2025 15:55:00,D0:4D:C6:F2:AD:80,eduroam,-83
01/12/2025 15:55:00,1C:28:AF:5B:E9:70,eduroam,-86
01/12/2025 15:55:00,1C:28:AF:5B:E9:60,eduroam,-75
01/12/2025 15:55:00,D0:4D:C6:F2:B0:F0,eduroam,-70
01/12/2025 15:55:00,1C:28:AF:66:5A:10,eduroam,-85
01/12/2025 15:55:00,D0:4D:C6:F2:80:30,eduroam,-90
01/12/2025 15:55:00,D0:4D:C6:F2:02:E0,eduroam,-82
01/12/2025 15:55:00,D0:4D:C6:F2:BA:E0,eduroam,-84
01/12/2025 15:55:00,D0:4D:C6:F2:B0:60,eduroam,-71
01/12/2025 15:55:00,D0:4D:C6:F1:33:20,eduroam,-70
01/12/2025 15:55:00,D0:4D:C6:F2:B0:E0,eduroam,-66
01/12/2025 15:55:00,1C:28:AF:66:08:20,eduroam,-71
01/12/2025 15:55:00,1C:28:AF:62:35:E0,eduroam,-65
01/12/2025 15:55:05,D0:4D:C6:F1:D8:00,eduroam,-89
01/12/2025 15:55:05,1C:28:AF:5B:71:60,eduroam,-87
01/12/2025 15:55:05,D0:4D:C6:F2:F0:E0,eduroam,-85
01/12/2025 15:55:05,D0:4D:C6:F1:D2:00,eduroam,-79
01/12/2025 15:55:05,D0:4D:C6:F2:9B:C0,eduroam,-81
01/12/2025 15:55:05,D0:4D:C6:F2:02:F0,eduroam,-90
01/12/2025 15:55:05,D0:4D:C6:F2:F0:F0,eduroam,-90
01/12/2025 15:55:05,D0:4D:C6:F2:7E:40,eduroam,-78
01/12/2025 15:55:05,D0:4D:C6:F2:80:20,eduroam,-77
01/12/2025 15:55:05,D0:4D:C6:F2:9B:D0,eduroam,-87
01/12/2025 15:55:05,1C:28:AF:66:5A:00,eduroam,-73
01/12/2025 15:55:05,D0:4D:C6:F2:B0:70,eduroam,-86
01/12/2025 15:55:05,1C:28:AF:5B:71:70,eduroam,-89
01/12/2025 15:55:05,1C:28:AF:66:08:30,eduroam,-83
01/12/2025 15:55:05,D0:4D:C6:F2:BA:F0,eduroam,-92
01/12/2025 15:55:05,D0:4D:C6:F1:33:30,eduroam,-71
01/12/2025 15:55:05,1C:28:AF:62:35:F0,eduroam,-74
01/12/2025 15:55:05,D0:4D:C6:F2:AD:80,eduroam,-83
01/12/2025 15:55:05,1C:28:AF:5B:E9:70,eduroam,-91
01/12/2025 15:55:05,1C:28:AF:5B:E9:60,eduroam,-75
01/12/2025 15:55:05,D0:4D:C6:F2:B0:F0,eduroam,-80
01/12/2025 15:55:05,1C:28:AF:66:5A:10,eduroam,-87
01/12/2025 15:55:05,D0:4D:C6:F2:80:30,eduroam,-90
01/12/2025 15:55:05,D0:4D:C6:F2:02:E0,eduroam,-84
01/12/2025 15:55:05,D0:4D:C6:F2:BA:E0,eduroam,-79
01/12/2025 15:55:05,D0:4D:C6:F2:B0:60,eduroam,-72
01/12/2025 15:55:05,D0:4D:C6:F1:33:20,eduroam,-63
01/12/2025 15:55:05,D0:4D:C6:F2:B0:E0,eduroam,-59
01/12/2025 15:55:06,1C:28:AF:66:08:20,eduroam,-71
01/12/2025 15:55:06,1C:28:AF:62:35:E0,eduroam,-64
01/12/2025 15:55:11,D0:4D:C6:F1:D8:00,eduroam,-89
01/12/2025 15:55:11,1C:28:AF:5B:71:60,eduroam,-87
01/12/2025 15:55:11,D0:4D:C6:F2:F0:E0,eduroam,-85
01/12/2025 15:55:11,D0:4D:C6:F1:D2:00,eduroam,-79
01/12/2025 15:55:11,D0:4D:C6:F2:9B:C0,eduroam,-81
01/12/2025 15:55:11,D0:4D:C6:F2:02:F0,eduroam,-91
01/12/2025 15:55:11,D0:4D:C6:F2:F0:F0,eduroam,-90
01/12/2025 15:55:11,D0:4D:C6:F2:7E:40,eduroam,-78
01/12/2025 15:55:11,D0:4D:C6:F2:80:20,eduroam,-77
01/12/2025 15:55:11,D0:4D:C6:F2:9B:D0,eduroam,-87
01/12/2025 15:55:11,1C:28:AF:66:5A:00,eduroam,-73
01/12/2025 15:55:11,D0:4D:C6:F2:B0:70,eduroam,-82
01/12/2025 15:55:11,1C:28:AF:5B:71:70,eduroam,-89
01/12/2025 15:55:11,1C:28:AF:66:08:30,eduroam,-81
01/12/2025 15:55:11,D0:4D:C6:F2:BA:F0,eduroam,-92
01/12/2025 15:55:11,D0:4D:C6:F1:33:30,eduroam,-78
01/12/2025 15:55:11,1C:28:AF:62:35:F0,eduroam,-76
01/12/2025 15:55:11,D0:4D:C6:F2:AD:80,eduroam,-83
01/12/2025 15:55:11,1C:28:AF:5B:E9:70,eduroam,-91
01/12/2025 15:55:11,1C:28:AF:5B:E9:60,eduroam,-75
01/12/2025 15:55:11,D0:4D:C6:F2:B0:F0,eduroam,-71
01/12/2025 15:55:11,1C:28:AF:66:5A:10,eduroam,-84
01/12/2025 15:55:11,D0:4D:C6:F2:80:30,eduroam,-90
01/12/2025 15:55:11,D0:4D:C6:F2:02:E0,eduroam,-84
01/12/2025 15:55:11,D0:4D:C6:F2:BA:E0,eduroam,-79
01/12/2025 15:55:11,D0:4D:C6:F2:B0:60,eduroam,-72
01/12/2025 15:55:11,D0:4D:C6:F1:33:20,eduroam,-68
01/12/2025 15:55:11,D0:4D:C6:F2:B0:E0,eduroam,-59
01/12/2025 15:55:11,1C:28:AF:66:08:20,eduroam,-71
01/12/2025 15:55:11,1C:28:AF:62:35:E0,eduroam,-65
01/12/2025 15:55:17,D0:4D:C6:F1:D8:00,eduroam,-89
01/12/2025 15:55:17,1C:28:AF:5B:71:60,eduroam,-87
01/12/2025 15:55:17,D0:4D:C6:F2:F0:E0,eduroam,-85
01/12/2025 15:55:17,D0:4D:C6:F1:D2:00,eduroam,-82
01/12/2025 15:55:17,D0:4D:C6:F2:9B:C0,eduroam,-81
01/12/2025 15:55:17,D0:4D:C6:F2:02:F0,eduroam,-91
01/12/2025 15:55:17,D0:4D:C6:F2:F0:F0,eduroam,-90
01/12/2025 15:55:17,D0:4D:C6:F2:7E:40,eduroam,-78
01/12/2025 15:55:17,D0:4D:C6:F2:80:20,eduroam,-77
01/12/2025 15:55:17,D0:4D:C6:F2:9B:D0,eduroam,-88
01/12/2025 15:55:17,D0:4D:C6:F2:7E:50,eduroam,-89
01/12/2025 15:55:17,1C:28:AF:66:5A:00,eduroam,-73
01/12/2025 15:55:17,D0:4D:C6:F2:B0:70,eduroam,-89
01/12/2025 15:55:17,1C:28:AF:5B:71:70,eduroam,-89
01/12/2025 15:55:17,1C:28:AF:66:08:30,eduroam,-85
01/12/2025 15:55:17,D0:4D:C6:F2:BA:F0,eduroam,-90
01/12/2025 15:55:17,D0:4D:C6:F1:33:30,eduroam,-73
01/12/2025 15:55:17,1C:28:AF:62:35:F0,eduroam,-74
01/12/2025 15:55:17,D0:4D:C6:F2:AD:80,eduroam,-83
01/12/2025 15:55:17,1C:28:AF:5B:E9:70,eduroam,-88
01/12/2025 15:55:17,1C:28:AF:5B:E9:60,eduroam,-77
01/12/2025 15:55:17,D0:4D:C6:F2:B0:F0,eduroam,-77
01/12/2025 15:55:17,1C:28:AF:66:5A:10,eduroam,-84
01/12/2025 15:55:17,D0:4D:C6:F2:80:30,eduroam,-90
01/12/2025 15:55:17,D0:4D:C6:F2:02:E0,eduroam,-80
01/12/2025 15:55:17,D0:4D:C6:F2:BA:E0,eduroam,-79
01/12/2025 15:55:17,D0:4D:C6:F2:B0:60,eduroam,-71
01/12/2025 15:55:17,D0:4D:C6:F1:33:20,eduroam,-66
01/12/2025 15:55:17,D0:4D:C6:F2:B0:E0,eduroam,-59
01/12/2025 15:55:17,1C:28:AF:66:08:20,eduroam,-71
01/12/2025 15:55:17,1C:28:AF:62:35:E0,eduroam,-63
01/12/2025 15:55:22,D0:4D:C6:F1:D8:00,eduroam,-89
01/12/2025 15:55:22,1C:28:AF:5B:71:60,eduroam,-87
01/12/2025 15:55:22,D0:4D:C6:F2:F0:E0,eduroam,-85
01/12/2025 15:55:22,D0:4D:C6:F1:D2:00,eduroam,-82
01/12/2025 15:55:22,D0:4D:C6:F2:9B:C0,eduroam,-81
01/12/2025 15:55:22,D0:4D:C6:F2:02:F0,eduroam,-91
01/12/2025 15:55:22,D0:4D:C6:F2:F0:F0,eduroam,-90
01/12/2025 15:55:22,D0:4D:C6:F2:7E:40,eduroam,-78
01/12/2025 15:55:22,D0:4D:C6:F2:80:20,eduroam,-77
01/12/2025 15:55:22,D0:4D:C6:F2:9B:D0,eduroam,-88
01/12/2025 15:55:22,D0:4D:C6:F2:7E:50,eduroam,-89
01/12/2025 15:55:22,1C:28:AF:66:5A:00,eduroam,-74
01/12/2025 15:55:22,D0:4D:C6:F2:B0:70,eduroam,-81
01/12/2025 15:55:22,1C:28:AF:5B:71:70,eduroam,-89
01/12/2025 15:55:22,1C:28:AF:66:08:30,eduroam,-85
01/12/2025 15:55:22,D0:4D:C6:F2:BA:F0,eduroam,-90
01/12/2025 15:55:22,D0:4D:C6:F1:33:30,eduroam,-78
01/12/2025 15:55:22,1C:28:AF:62:35:F0,eduroam,-77
01/12/2025 15:55:23,D0:4D:C6:F2:AD:80,eduroam,-83
01/12/2025 15:55:23,1C:28:AF:5B:E9:70,eduroam,-88
01/12/2025 15:55:23,1C:28:AF:5B:E9:60,eduroam,-77
01/12/2025 15:55:23,D0:4D:C6:F2:B0:F0,eduroam,-71
01/12/2025 15:55:23,1C:28:AF:66:5A:10,eduroam,-85
01/12/2025 15:55:23,D0:4D:C6:F2:80:30,eduroam,-90
01/12/2025 15:55:23,D0:4D:C6:F2:02:E0,eduroam,-81
01/12/2025 15:55:23,D0:4D:C6:F2:BA:E0,eduroam,-79
01/12/2025 15:55:23,D0:4D:C6:F2:B0:60,eduroam,-72
01/12/2025 15:55:23,D0:4D:C6:F1:33:20,eduroam,-66
01/12/2025 15:55:23,D0:4D:C6:F2:B0:E0,eduroam,-66
01/12/2025 15:55:23,1C:28:AF:66:08:20,eduroam,-71
01/12/2025 15:55:23,1C:28:AF:62:35:E0,eduroam,-66
01/12/2025 15:55:28,D0:4D:C6:F1:D8:00,eduroam,-89
01/12/2025 15:55:28,1C:28:AF:5B:71:60,eduroam,-87
01/12/2025 15:55:28,D0:4D:C6:F2:F0:E0,eduroam,-85
01/12/2025 15:55:28,D0:4D:C6:F1:D2:00,eduroam,-82
01/12/2025 15:55:28,D0:4D:C6:F2:9B:C0,eduroam,-81
01/12/2025 15:55:28,D0:4D:C6:F2:02:F0,eduroam,-91
01/12/2025 15:55:28,D0:4D:C6:F2:F0:F0,eduroam,-90
01/12/2025 15:55:28,D0:4D:C6:F2:7E:40,eduroam,-78
01/12/2025 15:55:28,D0:4D:C6:F2:80:20,eduroam,-77
01/12/2025 15:55:28,D0:4D:C6:F2:9B:D0,eduroam,-84
01/12/2025 15:55:28,D0:4D:C6:F2:7E:50,eduroam,-89
01/12/2025 15:55:28,1C:28:AF:66:5A:00,eduroam,-74
01/12/2025 15:55:28,D0:4D:C6:F2:B0:70,eduroam,-87
01/12/2025 15:55:28,1C:28:AF:5B:71:70,eduroam,-89
01/12/2025 15:55:28,1C:28:AF:66:08:30,eduroam,-83
01/12/2025 15:55:28,D0:4D:C6:F2:BA:F0,eduroam,-90
01/12/2025 15:55:28,D0:4D:C6:F1:33:30,eduroam,-73
01/12/2025 15:55:28,1C:28:AF:62:35:F0,eduroam,-75
01/12/2025 15:55:28,D0:4D:C6:F2:AD:80,eduroam,-80
01/12/2025 15:55:28,1C:28:AF:5B:E9:70,eduroam,-88
01/12/2025 15:55:28,1C:28:AF:5B:E9:60,eduroam,-77
01/12/2025 15:55:28,D0:4D:C6:F2:B0:F0,eduroam,-75
01/12/2025 15:55:28,1C:28:AF:66:5A:10,eduroam,-85
01/12/2025 15:55:28,D0:4D:C6:F2:80:30,eduroam,-90
01/12/2025 15:55:28,D0:4D:C6:F2:02:E0,eduroam,-81
01/12/2025 15:55:28,D0:4D:C6:F2:BA:E0,eduroam,-79
01/12/2025 15:55:28,D0:4D:C6:F2:B0:60,eduroam,-74
01/12/2025 15:55:28,D0:4D:C6:F1:33:20,eduroam,-68
01/12/2025 15:55:28,D0:4D:C6:F2:B0:E0,eduroam,-60
01/12/2025 15:55:28,1C:28:AF:66:08:20,eduroam,-71
01/12/2025 15:55:28,1C:28:AF:62:35:E0,eduroam,-66
01/12/2025 15:55:34,D0:4D:C6:F1:D8:00,eduroam,-89
01/12/2025 15:55:34,1C:28:AF:5B:71:60,eduroam,-87
01/12/2025 15:55:34,D0:4D:C6:F2:F0:E0,eduroam,-85
01/12/2025 15:55:34,D0:4D:C6:F1:D2:00,eduroam,-82
01/12/2025 15:55:34,D0:4D:C6:F2:9B:C0,eduroam,-81
01/12/2025 15:55:34,D0:4D:C6:F2:02:F0,eduroam,-91
01/12/2025 15:55:34,D0:4D:C6:F2:F0:F0,eduroam,-90
01/12/2025 15:55:34,D0:4D:C6:F2:7E:40,eduroam,-78
01/12/2025 15:55:34,D0:4D:C6:F2:80:20,eduroam,-77
01/12/2025 15:55:34,D0:4D:C6:F2:9B:D0,eduroam,-84
01/12/2025 15:55:34,D0:4D:C6:F2:7E:50,eduroam,-88
01/12/2025 15:55:34,1C:28:AF:66:5A:00,eduroam,-74
01/12/2025 15:55:34,D0:4D:C6:F2:B0:70,eduroam,-83
01/12/2025 15:55:34,1C:28:AF:5B:71:70,eduroam,-88
01/12/2025 15:55:34,1C:28:AF:66:08:30,eduroam,-79
01/12/2025 15:55:34,D0:4D:C6:F2:BA:F0,eduroam,-90
01/12/2025 15:55:34,D0:4D:C6:F1:33:30,eduroam,-78
01/12/2025 15:55:34,1C:28:AF:62:35:F0,eduroam,-76
01/12/2025 15:55:34,D0:4D:C6:F2:AD:80,eduroam,-80
01/12/2025 15:55:34,1C:28:AF:5B:E9:70,eduroam,-86
01/12/2025 15:55:34,1C:28:AF:5B:E9:60,eduroam,-77
01/12/2025 15:55:34,D0:4D:C6:F2:B0:F0,eduroam,-70
01/12/2025 15:55:34,1C:28:AF:66:5A:10,eduroam,-88
01/12/2025 15:55:34,D0:4D:C6:F2:80:30,eduroam,-90
01/12/2025 15:55:34,D0:4D:C6:F2:02:E0,eduroam,-81
01/12/2025 15:55:34,D0:4D:C6:F2:BA:E0,eduroam,-79
01/12/2025 15:55:34,D0:4D:C6:F2:B0:60,eduroam,-72
01/12/2025 15:55:34,D0:4D:C6:F1:33:20,eduroam,-67
01/12/2025 15:55:34,D0:4D:C6:F2:B0:E0,eduroam,-66
01/12/2025 15:55:34,1C:28:AF:66:08:20,eduroam,-71
01/12/2025 15:55:34,1C:28:AF:62:35:E0,eduroam,-65
01/12/2025 15:55:39,D0:4D:C6:F1:D8:00,eduroam,-89
01/12/2025 15:55:39,1C:28:AF:5B:71:60,eduroam,-87
01/12/2025 15:55:39,D0:4D:C6:F2:F0:E0,eduroam,-85
01/12/2025 15:55:39,D0:4D:C6:F1:D2:00,eduroam,-82
01/12/2025 15:55:39,D0:4D:C6:F2:9B:C0,eduroam,-81
01/12/2025 15:55:39,D0:4D:C6:F2:02:F0,eduroam,-91
01/12/2025 15:55:39,D0:4D:C6:F2:F0:F0,eduroam,-90
01/12/2025 15:55:39,D0:4D:C6:F2:7E:40,eduroam,-78
01/12/2025 15:55:39,D0:4D:C6:F2:80:20,eduroam,-77
01/12/2025 15:55:39,D0:4D:C6:F2:9B:D0,eduroam,-84
01/12/2025 15:55:39,D0:4D:C6:F2:7E:50,eduroam,-88
01/12/2025 15:55:39,1C:28:AF:66:5A:00,eduroam,-74
01/12/2025 15:55:39,D0:4D:C6:F2:B0:70,eduroam,-86
01/12/2025 15:55:40,1C:28:AF:5B:71:70,eduroam,-88
01/12/2025 15:55:40,1C:28:AF:66:08:30,eduroam,-85
01/12/2025 15:55:40,D0:4D:C6:F2:BA:F0,eduroam,-90
01/12/2025 15:55:40,D0:4D:C6:F1:33:30,eduroam,-78
01/12/2025 15:55:40,1C:28:AF:62:35:F0,eduroam,-72
01/12/2025 15:55:40,D0:4D:C6:F2:AD:80,eduroam,-80
01/12/2025 15:55:40,1C:28:AF:5B:E9:70,eduroam,-86
01/12/2025 15:55:40,1C:28:AF:5B:E9:60,eduroam,-77
01/12/2025 15:55:40,D0:4D:C6:F2:B0:F0,eduroam,-77
01/12/2025 15:55:40,1C:28:AF:66:5A:10,eduroam,-88
01/12/2025 15:55:40,D0:4D:C6:F2:80:30,eduroam,-90
01/12/2025 15:55:40,D0:4D:C6:F2:02:E0,eduroam,-81
01/12/2025 15:55:40,D0:4D:C6:F2:BA:E0,eduroam,-79
01/12/2025 15:55:40,D0:4D:C6:F2:B0:60,eduroam,-71
01/12/2025 15:55:40,D0:4D:C6:F1:33:20,eduroam,-65
01/12/2025 15:55:40,D0:4D:C6:F2:B0:E0,eduroam,-59
01/12/2025 15:55:40,1C:28:AF:66:08:20,eduroam,-71
01/12/2025 15:55:40,1C:28:AF:62:35:E0,eduroam,-65
01/12/2025 15:55:45,D0:4D:C6:F1:D8:00,eduroam,-89
01/12/2025 15:55:45,1C:28:AF:5B:71:60,eduroam,-87
01/12/2025 15:55:45,D0:4D:C6:F2:F0:E0,eduroam,-85
01/12/2025 15:55:45,D0:4D:C6:F1:D2:00,eduroam,-82
01/12/2025 15:55:45,D0:4D:C6:F2:9B:C0,eduroam,-78
01/12/2025 15:55:45,D0:4D:C6:F2:02:F0,eduroam,-91
01/12/2025 15:55:45,D0:4D:C6:F2:F0:F0,eduroam,-90
01/12/2025 15:55:45,D0:4D:C6:F2:7E:40,eduroam,-78
01/12/2025 15:55:45,D0:4D:C6:F2:80:20,eduroam,-77
01/12/2025 15:55:45,D0:4D:C6:F2:9B:D0,eduroam,-84
01/12/2025 15:55:45,D0:4D:C6:F2:7E:50,eduroam,-88
01/12/2025 15:55:45,1C:28:AF:66:5A:00,eduroam,-74
01/12/2025 15:55:45,D0:4D:C6:F2:B0:70,eduroam,-82
01/12/2025 15:55:45,1C:28:AF:5B:71:70,eduroam,-88
01/12/2025 15:55:45,1C:28:AF:66:08:30,eduroam,-81
01/12/2025 15:55:45,D0:4D:C6:F2:BA:F0,eduroam,-90
01/12/2025 15:55:45,D0:4D:C6:F1:33:30,eduroam,-77
01/12/2025 15:55:45,1C:28:AF:62:35:F0,eduroam,-76
01/12/2025 15:55:45,D0:4D:C6:F2:AD:80,eduroam,-80
01/12/2025 15:55:45,1C:28:AF:5B:E9:70,eduroam,-86
01/12/2025 15:55:45,1C:28:AF:5B:E9:60,eduroam,-77
01/12/2025 15:55:45,D0:4D:C6:F2:B0:F0,eduroam,-72
01/12/2025 15:55:45,1C:28:AF:66:5A:10,eduroam,-87
01/12/2025 15:55:45,D0:4D:C6:F2:80:30,eduroam,-90
01/12/2025 15:55:45,D0:4D:C6:F2:02:E0,eduroam,-81
01/12/2025 15:55:45,D0:4D:C6:F2:BA:E0,eduroam,-79
01/12/2025 15:55:45,D0:4D:C6:F2:B0:60,eduroam,-73
01/12/2025 15:55:45,D0:4D:C6:F1:33:20,eduroam,-65
01/12/2025 15:55:45,D0:4D:C6:F2:B0:E0,eduroam,-66
01/12/2025 15:55:45,1C:28:AF:66:08:20,eduroam,-71
01/12/2025 15:55:45,1C:28:AF:62:35:E0,eduroam,-64
01/12/2025 15:55:51,D0:4D:C6:F1:D8:00,eduroam,-89
01/12/2025 15:55:51,D0:4D:C6:F2:F0:E0,eduroam,-85
01/12/2025 15:55:51,D0:4D:C6:F1:D2:00,eduroam,-82
01/12/2025 15:55:51,D0:4D:C6:F2:9B:C0,eduroam,-77
01/12/2025 15:55:51,D0:4D:C6:F2:02:F0,eduroam,-91
01/12/2025 15:55:51,D0:4D:C6:F2:F0:F0,eduroam,-90
01/12/2025 15:55:51,D0:4D:C6:F2:7E:40,eduroam,-81
01/12/2025 15:55:51,D0:4D:C6:F2:80:20,eduroam,-77
01/12/2025 15:55:51,D0:4D:C6:F2:9B:D0,eduroam,-85
01/12/2025 15:55:51,D0:4D:C6:F2:7E:50,eduroam,-88
01/12/2025 15:55:51,1C:28:AF:66:5A:00,eduroam,-70
01/12/2025 15:55:51,D0:4D:C6:F2:B0:70,eduroam,-87
01/12/2025 15:55:51,1C:28:AF:5B:71:70,eduroam,-88
01/12/2025 15:55:51,1C:28:AF:66:08:30,eduroam,-86
01/12/2025 15:55:51,D0:4D:C6:F2:BA:F0,eduroam,-90
01/12/2025 15:55:51,D0:4D:C6:F1:33:30,eduroam,-77
01/12/2025 15:55:51,1C:28:AF:62:35:F0,eduroam,-72
01/12/2025 15:55:51,D0:4D:C6:F2:AD:80,eduroam,-80
01/12/2025 15:55:51,1C:28:AF:5B:E9:70,eduroam,-89
01/12/2025 15:55:51,1C:28:AF:5B:E9:60,eduroam,-77
01/12/2025 15:55:51,D0:4D:C6:F2:B0:F0,eduroam,-76
01/12/2025 15:55:51,1C:28:AF:66:5A:10,eduroam,-90
01/12/2025 15:55:51,D0:4D:C6:F2:80:30,eduroam,-90
01/12/2025 15:55:51,D0:4D:C6:F2:02:E0,eduroam,-81
01/12/2025 15:55:51,D0:4D:C6:F2:BA:E0,eduroam,-79
01/12/2025 15:55:51,D0:4D:C6:F2:B0:60,eduroam,-73
01/12/2025 15:55:51,D0:4D:C6:F1:33:20,eduroam,-66
01/12/2025 15:55:51,D0:4D:C6:F2:B0:E0,eduroam,-59
01/12/2025 15:55:51,1C:28:AF:66:08:20,eduroam,-71
01/12/2025 15:55:51,1C:28:AF:62:35:E0,eduroam,-64
01/12/2025 15:55:56,D0:4D:C6:F1:D8:00,eduroam,-89
01/12/2025 15:55:56,D0:4D:C6:F2:F0:E0,eduroam,-85
01/12/2025 15:55:56,D0:4D:C6:F1:D2:00,eduroam,-82
01/12/2025 15:55:56,D0:4D:C6:F2:9B:C0,eduroam,-77
01/12/2025 15:55:56,D0:4D:C6:F2:02:F0,eduroam,-91
01/12/2025 15:55:56,D0:4D:C6:F2:F0:F0,eduroam,-90
01/12/2025 15:55:56,D0:4D:C6:F2:7E:40,eduroam,-81
01/12/2025 15:55:57,D0:4D:C6:F2:80:20,eduroam,-77
01/12/2025 15:55:57,D0:4D:C6:F2:9B:D0,eduroam,-85
01/12/2025 15:55:57,D0:4D:C6:F2:7E:50,eduroam,-88
01/12/2025 15:55:57,1C:28:AF:66:5A:00,eduroam,-70
01/12/2025 15:55:57,D0:4D:C6:F2:B0:70,eduroam,-82
01/12/2025 15:55:57,1C:28:AF:5B:71:70,eduroam,-88
01/12/2025 15:55:57,1C:28:AF:66:08:30,eduroam,-83
01/12/2025 15:55:57,D0:4D:C6:F2:BA:F0,eduroam,-90
01/12/2025 15:55:57,D0:4D:C6:F1:33:30,eduroam,-77
01/12/2025 15:55:57,1C:28:AF:62:35:F0,eduroam,-77
01/12/2025 15:55:57,D0:4D:C6:F2:AD:80,eduroam,-80
01/12/2025 15:55:57,1C:28:AF:5B:E9:70,eduroam,-88
01/12/2025 15:55:57,1C:28:AF:5B:E9:60,eduroam,-76
01/12/2025 15:55:57,D0:4D:C6:F2:B0:F0,eduroam,-76
01/12/2025 15:55:57,1C:28:AF:66:5A:10,eduroam,-85
01/12/2025 15:55:57,D0:4D:C6:F2:80:30,eduroam,-90
01/12/2025 15:55:57,D0:4D:C6:F2:02:E0,eduroam,-81
01/12/2025 15:55:57,D0:4D:C6:F2:BA:E0,eduroam,-85
01/12/2025 15:55:57,D0:4D:C6:F2:B0:60,eduroam,-71
01/12/2025 15:55:57,D0:4D:C6:F1:33:20,eduroam,-69
01/12/2025 15:55:57,D0:4D:C6:F2:B0:E0,eduroam,-66
01/12/2025 15:55:57,1C:28:AF:66:08:20,eduroam,-71
01/12/2025 15:55:57,1C:28:AF:62:35:E0,eduroam,-64
01/12/2025 15:56:02,D0:4D:C6:F2:F0:E0,eduroam,-85
01/12/2025 15:56:02,D0:4D:C6:F1:D2:00,eduroam,-82
01/12/2025 15:56:02,D0:4D:C6:F2:9B:C0,eduroam,-77
01/12/2025 15:56:02,D0:4D:C6:F2:02:F0,eduroam,-91
01/12/2025 15:56:02,D0:4D:C6:F2:F0:F0,eduroam,-90
01/12/2025 15:56:02,D0:4D:C6:F2:7E:40,eduroam,-81
01/12/2025 15:56:02,D0:4D:C6:F2:80:20,eduroam,-77
01/12/2025 15:56:02,D0:4D:C6:F2:9B:D0,eduroam,-85
01/12/2025 15:56:02,D0:4D:C6:F2:7E:50,eduroam,-88
01/12/2025 15:56:02,1C:28:AF:66:5A:00,eduroam,-70
01/12/2025 15:56:02,D0:4D:C6:F2:B0:70,eduroam,-86
01/12/2025 15:56:02,1C:28:AF:5B:71:70,eduroam,-86
01/12/2025 15:56:02,1C:28:AF:66:08:30,eduroam,-82
01/12/2025 15:56:02,D0:4D:C6:F2:BA:F0,eduroam,-88
01/12/2025 15:56:02,D0:4D:C6:F1:33:30,eduroam,-74
01/12/2025 15:56:02,1C:28:AF:62:35:F0,eduroam,-73
01/12/2025 15:56:02,D0:4D:C6:F2:AD:80,eduroam,-79
01/12/2025 15:56:02,1C:28:AF:5B:E9:70,eduroam,-88
01/12/2025 15:56:02,1C:28:AF:5B:E9:60,eduroam,-75
01/12/2025 15:56:02,D0:4D:C6:F2:B0:F0,eduroam,-76
01/12/2025 15:56:02,1C:28:AF:66:5A:10,eduroam,-91
01/12/2025 15:56:02,D0:4D:C6:F2:80:30,eduroam,-90
01/12/2025 15:56:02,D0:4D:C6:F2:02:E0,eduroam,-81
01/12/2025 15:56:02,D0:4D:C6:F2:BA:E0,eduroam,-85
01/12/2025 15:56:02,D0:4D:C6:F2:B0:60,eduroam,-71
01/12/2025 15:56:02,D0:4D:C6:F1:33:20,eduroam,-69
01/12/2025 15:56:03,D0:4D:C6:F2:B0:E0,eduroam,-60
01/12/2025 15:56:03,1C:28:AF:66:08:20,eduroam,-71
